,Unnamed: 0,Index,Cluster
0,0,ARKK,3
1,1,ARKQ,3
2,2,ARKW,3
3,3,CIBR,3
4,4,CQQQ,3
5,5,CWEB,3
6,6,FDN,3
7,7,FTC,3
8,8,FTEC,3
9,9,FTXL,3
10,10,FXI,3
11,11,FXL,3
12,12,FXP,3
13,13,FYC,3
14,14,GAMR,3
15,15,HACK,3
16,16,IDLV,3
17,17,IDX,3
18,18,IEFA,3
19,19,IGM,3
20,20,IGV,3
21,21,IPAY,3
22,22,ISMD,3
23,23,ITEQ,3
24,24,IXN,0
25,25,IYW,1
26,26,KWEB,1
27,27,MTUM,1
28,28,NULG,1
29,29,NUMG,1
30,30,NXTG,1
31,31,ONEQ,1
32,32,PIN,2
33,33,PIZ,2
34,34,PNQI,2
35,35,PRNT,4
36,36,PSCT,2
37,37,PSI,4
38,38,PTF,2
39,39,QQEW,2
40,40,QQQ,2
41,41,QQQE,4
42,42,QTEC,2
43,43,QYLD,4
44,44,ROM,4
45,45,SKYY,4
46,46,SMH,4
47,47,SNSR,4
48,48,SOXL,0
49,49,SOXS,0
50,50,SOXX,1
51,51,SUSA,1
52,52,TDIV,0
53,53,TECL,1
54,54,TECS,1
55,55,TLTD,1
56,56,TLTE,1
57,57,TQQQ,1
58,58,USD,1
59,59,VGT,1
60,60,VV,2
61,61,XLK,2
62,62,XNTK,1
63,63,XSD,1
64,64,XSW,1
65,65,XT,2
